"SERVER";"TYPE 1";"MODEL";"MARQUE";"TYPE 2";"APP";"VSI";"Criticit?";"DEPART";"RESP";"SITE";"Powerstate";"OS EDITOR";"OS VERSION";"Creation date";"Primary IP Address";"IDRAC / ILO";"Host";"Garantie"
"FRWPRSAV007";"VMOVH";"VMWARE";"VMWARE";"OVH - STAGO PROD";"SAV";;"Basse";"APPLI";"KADDOURI";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"01/01/1970 01:00:00";"172.31.98.137";;"172.17.20.54";
"FRWPRSAV008";"VMOVH";"VMWARE";"VMWARE";"OVH - STAGO PROD";"SAV";;"Basse";"APPLI";"KADDOURI";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 7 (64-bit)";"01/01/1970 01:00:00";"?";;"172.17.20.54";
"FRWPRSAV009";"VMOVH";"VMWARE";"VMWARE";"OVH - STAGO PROD";"SAV";;"Basse";"APPLI";"KADDOURI";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"01/01/1970 01:00:00";"172.31.98.139";;"172.17.20.54";
"FRWPRSAV010";"VMOVH";"VMWARE";"VMWARE";"OVH - STAGO PROD";"SAV";;"Basse";"APPLI";"KADDOURI";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"01/01/1970 01:00:00";"172.31.98.140";;"172.17.20.54";
"FRWPRSAV011";"VMOVH";"VMWARE";"VMWARE";"OVH - STAGO PROD";"SAV";;"Basse";"APPLI";"KADDOURI";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"01/01/1970 01:00:00";"172.31.98.112";;"172.17.20.54";
"FRWPRXFP001";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"XFP";;"Basse";"APPLI";"BOQUET";"FRANCE/TAVERNY";"D?commissionn?";"Microsoft";"Microsoft Windows 10 (64-bit)";"06/04/2022 14:37:38";"172.31.103.150";;"frtav97.stago.grp";
"FRWTSMIG001";"VMOVH";"VMWARE";"VMWARE";"OVH - STAGO PROD";"?";;"Basse";"?";"?";"FRANCE/DATACENTER OVH/Roubaix";"D?commissionn?";"Microsoft";"Microsoft Windows 10 (64-bit)";"08/10/2021 19:28:23";"172.31.110.98";;"172.17.20.68";
"FRWTSMOD001";"VMOVH";"VMWARE";"VMWARE";"OVH - STAGO PROD";"MODULA";;"Basse";"APPLI";"BOQUET";"FRANCE/DATACENTER OVH/Roubaix";"D?commissionn?";"Microsoft";"Microsoft Windows 10 (64-bit)";"24/08/2022 09:38:32";"172.31.110.122";;"172.17.20.67";
"FRWTSMOD002";"VMOVH";"VMWARE";"VMWARE";"OVH - STAGO PROD";"MODULA";;"Basse";"APPLI";"BOQUET";"FRANCE/DATACENTER OVH/Roubaix";"D?commissionn?";"Microsoft";"Microsoft Windows 10 (64-bit)";"24/08/2022 10:53:27";"172.31.110.110";;"172.17.20.67";
"FRWTSMOD003";"VMOVH";"VMWARE";"VMWARE";"OVH - STAGO PROD";"MODULA";;"Basse";"APPLI";"BOQUET";"FRANCE/DATACENTER OVH/Roubaix";"D?commissionn?";"Microsoft";"Microsoft Windows 10 (64-bit)";"25/08/2022 11:44:00";"172.31.110.145";;"172.17.20.60";
"FRWPRSAV012";"VMOVH";"VMWARE";"VMWARE";"OVH - STAGO PROD";"SAV";;"Basse";"APPLI";"KADDOURI";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"01/01/1970 01:00:00";"172.31.98.113";;"172.17.20.54";
"FRWTSQPU001";"VMOVH";"VMWARE";"VMWARE";"OVH - STAGO PROD";"QPULSE 6.8";;"Basse";"APPLI";"PILON";"FRANCE/DATACENTER OVH/Roubaix";"D?commissionn?";"Microsoft";"Microsoft Windows 10 (64-bit)";"01/01/1970 01:00:00";"172.31.111.172";;"172.17.20.54";
"FRWPRSAV013";"VMOVH";"VMWARE";"VMWARE";"OVH - STAGO PROD";"SAV";;"Basse";"APPLI";"KADDOURI";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"01/01/1970 01:00:00";"172.31.98.141";;"172.17.20.54";
"FRWPRSAV014";"VMOVH";"VMWARE";"VMWARE";"OVH - STAGO PROD";"SAV";;"Basse";"APPLI";"KADDOURI";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"01/01/1970 01:00:00";"172.31.98.142";;"172.17.20.54";
"FRWPRSAV015";"VMOVH";"VMWARE";"VMWARE";"OVH - STAGO PROD";"SAV";;"Basse";"APPLI";"KADDOURI";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"01/01/1970 01:00:00";"172.31.98.144";;"172.17.20.54";
"FRWPRSAV016";"VMOVH";"VMWARE";"VMWARE";"OVH - STAGO PROD";"SAV";;"Basse";"APPLI";"KADDOURI";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"01/01/1970 01:00:00";"172.31.98.146";;"172.17.20.54";
"FRWPRSAV017";"VMOVH";"VMWARE";"VMWARE";"OVH - STAGO PROD";"SAV";;"Basse";"APPLI";"KADDOURI";"FRANCE/DATACENTER OVH/Roubaix";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"01/01/1970 01:00:00";"172.31.98.145";;"172.17.20.54";
